ID_Pregunta,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_Correcta,Comentario_A,Comentario_B,Comentario_C,Comentario_Correcta,Estado,ID_Video,ID_Area,ID_Tema
PREG014, Caso: En una fuente conmutada se necesita reducir un voltaje de 24V a 5V para alimentar sensores digitales. ¿Qué circuito se debe utilizar?,Rectificador de onda completa, Regulador lineal 7805, no aplica, Regulador Conmutado tipo buck,Incorrecto. Rectificador de onda completa no es la mejor opción para resolver el caso descrito. Revisa las características de rectificador de onda completa y su aplicación práctica.,Incorrecto.  Regulador lineal 7805 no es la mejor opción para resolver el caso descrito. Revisa las características de  regulador lineal 7805 y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Regulador Conmutado tipo buck es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
PREG015, Caso: Se requiere medir la corriente que consume una carga resistiva desde un microcontrolador. ¿Qué configuración es adecuada?,  Optoacoplador, Divisor de voltaje, no aplica,  Shunt de bajo valor en serie + amplificador diferencial,Incorrecto.   Optoacoplador no es la mejor opción para resolver el caso descrito. Revisa las características de   optoacoplador y su aplicación práctica.,Incorrecto.  Divisor de voltaje no es la mejor opción para resolver el caso descrito. Revisa las características de  divisor de voltaje y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.   Shunt de bajo valor en serie + amplificador diferencial es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
PREG016, Caso: Se diseña un sistema de control para una lámpara de alta potencia y se busca activar/desactivar la carga desde un microcontrolador. ¿Qué componente de potencia es más adecuado?, Transistor BJT, Rele mecanico, no aplica, TRIAC,Incorrecto.  Transistor BJT no es la mejor opción para resolver el caso descrito. Revisa las características de  transistor bjt y su aplicación práctica.,Incorrecto.  Rele mecanico no es la mejor opción para resolver el caso descrito. Revisa las características de  rele mecanico y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  TRIAC es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
PREG017, Caso: En un circuito analógico y se necesita amplificar una señal de 0-100 mV hasta 0-5 V para su lectura por un ADC. ¿Qué circuito se debe usar?, Filtro pasabajos, Comparador de voltaje, no aplica, Amplificador operacional en configuración no inversora,Incorrecto.  Filtro pasabajos no es la mejor opción para resolver el caso descrito. Revisa las características de  filtro pasabajos y su aplicación práctica.,Incorrecto.  Comparador de voltaje no es la mejor opción para resolver el caso descrito. Revisa las características de  comparador de voltaje y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Amplificador operacional en configuración no inversora es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
PREG018, Caso: Un sensor digital genera pulsos de 3.3V pero el sistema receptor opera a 5V lógicos. ¿Qué se requiere para la correcta comunicación?,  Pull-up resistor, Inversor logico, no aplica, Adaptador de nivel logico,Incorrecto.   Pull-up resistor no es la mejor opción para resolver el caso descrito. Revisa las características de   pull-up resistor y su aplicación práctica.,Incorrecto.  Inversor logico no es la mejor opción para resolver el caso descrito. Revisa las características de  inversor logico y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Adaptador de nivel logico es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
PREG019, Caso: En un sistema se requiere evitar rebotes de una señal digital proveniente de un pulsador mecánico. ¿Qué circuito es adecuado?, Puente H, Amplificador inverso, no aplica, Filtro RC + compuerta Schmitt Trigger,Incorrecto.  Puente H no es la mejor opción para resolver el caso descrito. Revisa las características de  puente h y su aplicación práctica.,Incorrecto.  Amplificador inverso no es la mejor opción para resolver el caso descrito. Revisa las características de  amplificador inverso y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Filtro RC + compuerta Schmitt Trigger es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
PREG020, Caso: En un sistema de potencia se quiere evitar el disparo accidental del MOSFET por ruidos en la compuerta. ¿Qué técnica se recomienda?, Optoacoplador en drenador, Filtro LC en la carga, no aplica, Resistencia de gate + zener,Incorrecto.  Optoacoplador en drenador no es la mejor opción para resolver el caso descrito. Revisa las características de  optoacoplador en drenador y su aplicación práctica.,Incorrecto.  Filtro LC en la carga no es la mejor opción para resolver el caso descrito. Revisa las características de  filtro lc en la carga y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Resistencia de gate + zener es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
PREG021, Caso: En una línea de ensamblaje y se requiere que una banda transportadora se detenga cuando se detecte una pieza metálica. El estudiante decide usar un qPLC con una entrada digital proveniente de un sensor inductivo. ¿Qué tipo de lógica de control debe programar para cumplir la función?, Lazo cerrado analógico, Logica secuencial, no aplica, Logica combinacional,Incorrecto.  Lazo cerrado analógico no es la mejor opción para resolver el caso descrito. Revisa las características de  lazo cerrado analógico y su aplicación práctica.,Incorrecto.  Logica secuencial no es la mejor opción para resolver el caso descrito. Revisa las características de  logica secuencial y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Logica combinacional es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM03
PREG022, Caso: Se requiere regular la velocidad de un ventilador industrial en función de la temperatura ambiente utilizando un microcontrolador. ¿Qué tipo de control sería el más adecuado?, Control ON/OFF, Control manual, no aplica, Control proporcional,Incorrecto.  Control ON/OFF no es la mejor opción para resolver el caso descrito. Revisa las características de  control on/off y su aplicación práctica.,Incorrecto.  Control manual no es la mejor opción para resolver el caso descrito. Revisa las características de  control manual y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Control proporcional es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM03
PREG023, Caso: Un sistema de control de nivel de agua utiliza un sensor ultrasónico y una bomba controlada por un relé conectado a un microcontrolador. Se desea mantener el nivel de agua entre dos valores definidos. ¿Cuál es el mejor enfoque de control?, Control de realimentación abierta, Control proporcional-integral, no aplica, Control de histerisis digital,Incorrecto.  Control de realimentación abierta no es la mejor opción para resolver el caso descrito. Revisa las características de  control de realimentación abierta y su aplicación práctica.,Incorrecto.  Control proporcional-integral no es la mejor opción para resolver el caso descrito. Revisa las características de  control proporcional-integral y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Control de histerisis digital es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM03
PREG024, Caso: Se diseña un sistema de iluminación industrial que se activa automáticamente al anochecer. Se utiliza un LDR (resistencia dependiente de la luz) conectado a un comparador con referencia fija. ¿Qué tipo de sistema de control representa este ejemplo?, Controlador digital secuencial, Control PID, no aplica, Control de umbral analogico,Incorrecto.  Controlador digital secuencial no es la mejor opción para resolver el caso descrito. Revisa las características de  controlador digital secuencial y su aplicación práctica.,Incorrecto.  Control PID no es la mejor opción para resolver el caso descrito. Revisa las características de  control pid y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Control de umbral analogico es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM03
PREG025, Caso: Un estudiante programa un PLC para activar un actuador neumático si se presionan dos botones simultáneamente como medida de seguridad. ¿Qué lógica debe implementar?, OR Logico,  XOR lógico, no aplica, AND logico,Incorrecto.  OR Logico no es la mejor opción para resolver el caso descrito. Revisa las características de  or logico y su aplicación práctica.,Incorrecto.   XOR lógico no es la mejor opción para resolver el caso descrito. Revisa las características de   xor lógico y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  AND logico es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM03
PREG026, Caso: Se requiere controlar la apertura gradual de una válvula proporcional según la presión medida por un sensor analógico. ¿Qué tipo de sistema de control debe implementarse?,  Control por lógica difusa,  Control ON/OFF, no aplica, Control proporcional-integral-derivativo (PID),Incorrecto.   Control por lógica difusa no es la mejor opción para resolver el caso descrito. Revisa las características de   control por lógica difusa y su aplicación práctica.,Incorrecto.   Control ON/OFF no es la mejor opción para resolver el caso descrito. Revisa las características de   control on/off y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Control proporcional-integral-derivativo (PID) es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM03
PREG027, Caso: En un sistema automatizado de llenado y el estudiante desea evitar que el PLC active la bomba si no se encuentra un recipiente en posición. ¿Qué elemento debe incorporar al programa del PLC?, Temporizador(TON), Contador ascendente, no aplica,  Contacto de sensor de presencia en serie logica,Incorrecto.  Temporizador(TON) no es la mejor opción para resolver el caso descrito. Revisa las características de  temporizador(ton) y su aplicación práctica.,Incorrecto.  Contador ascendente no es la mejor opción para resolver el caso descrito. Revisa las características de  contador ascendente y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.   Contacto de sensor de presencia en serie logica es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM03
PREG028, Caso: Un estudiante desea analizar la respuesta dinámica de un brazo robótico ante un movimiento angular repentino. ¿Qué herramienta es la más adecuada para simular este comportamiento?, Simulador CAD estatico, Analizador lógico, no aplica, Simulador dinámico tipo Simulink o MSC Adams,Incorrecto.  Simulador CAD estatico no es la mejor opción para resolver el caso descrito. Revisa las características de  simulador cad estatico y su aplicación práctica.,Incorrecto.  Analizador lógico no es la mejor opción para resolver el caso descrito. Revisa las características de  analizador lógico y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Simulador dinámico tipo Simulink o MSC Adams es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM04
PREG029, Caso: Para anticipar el comportamiento térmico de un disipador de calor en un sistema embebido un alumno decide realizar una simulación. ¿Qué tipo de análisis debe aplicar?, Analisis estructural, Análisis modal, no aplica, Analisis termico transitorio,Incorrecto.  Analisis estructural no es la mejor opción para resolver el caso descrito. Revisa las características de  analisis estructural y su aplicación práctica.,Incorrecto.  Análisis modal no es la mejor opción para resolver el caso descrito. Revisa las características de  análisis modal y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Analisis termico transitorio es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM04
PREG030, Caso: Un estudiante modela un sistema masa-resorte-amortiguador para una plataforma antivibración. ¿Cuál es el objetivo del modelado en este caso?, Obtener el diagrama eléctrico del sistema,  Controlar directamente el sistema, no aplica, Determinar la ecuación diferencial del sistema y su respuesta,Incorrecto.  Obtener el diagrama eléctrico del sistema no es la mejor opción para resolver el caso descrito. Revisa las características de  obtener el diagrama eléctrico del sistema y su aplicación práctica.,Incorrecto.   Controlar directamente el sistema no es la mejor opción para resolver el caso descrito. Revisa las características de   controlar directamente el sistema y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Determinar la ecuación diferencial del sistema y su respuesta es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM04
PREG031, Caso: Al simular un sistema neumático en un entorno virtual  y un estudiante observa que los tiempos de respuesta del actuador varían con la carga. ¿Qué conclusión puede obtener del modelo?, La simulacion solo sirve para visualizar, El modelo está mal diseñado si cambia el comportamiento, no aplica, La variación de carga afecta directamente la dinámica del sistema,Incorrecto.  La simulacion solo sirve para visualizar no es la mejor opción para resolver el caso descrito. Revisa las características de  la simulacion solo sirve para visualizar y su aplicación práctica.,Incorrecto.  El modelo está mal diseñado si cambia el comportamiento no es la mejor opción para resolver el caso descrito. Revisa las características de  el modelo está mal diseñado si cambia el comportamiento y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  La variación de carga afecta directamente la dinámica del sistema es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM04
PREG032, Caso: Un docente solicita a los alumnos simular el comportamiento de un sistema de control PID para el posicionamiento de un motor DC. ¿Qué parámetro se debe observar para evaluar el desempeño del sistema?, El color de los graficos generados, Frecuencia de muestreo de los sensores, no aplica,Tiempo de establecimiento y sobreimpulso,Incorrecto.  El color de los graficos generados no es la mejor opción para resolver el caso descrito. Revisa las características de  el color de los graficos generados y su aplicación práctica.,Incorrecto.  Frecuencia de muestreo de los sensores no es la mejor opción para resolver el caso descrito. Revisa las características de  frecuencia de muestreo de los sensores y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto. Tiempo de establecimiento y sobreimpulso es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM04
PREG033, Caso: Para verificar el diseño de un sistema de suspensión semiactiva  un estudiante desarrolla un modelo matemático y lo simula. ¿Cuál es una ventaja clave de esta práctica antes de la implementación física?, Elimina la necesidad de fabricar el prototipo,Garantiza la perfección del diseño final, no aplica, Reduce el riesgo de fallos en la fase de pruebas reales,Incorrecto.  Elimina la necesidad de fabricar el prototipo no es la mejor opción para resolver el caso descrito. Revisa las características de  elimina la necesidad de fabricar el prototipo y su aplicación práctica.,Incorrecto. Garantiza la perfección del diseño final no es la mejor opción para resolver el caso descrito. Revisa las características de garantiza la perfección del diseño final y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Reduce el riesgo de fallos en la fase de pruebas reales es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM04
PREG034, Caso: En la simulación de un sistema mecatrónico con control digital un alumno observa una inestabilidad oscilatoria creciente. ¿Cuál podría ser una causa representada en el modelo?,Uso de actuadores lineales, Mal diseño de los componentes mecánicos, no aplica, Exceso de ganancia en el controlador,Incorrecto. Uso de actuadores lineales no es la mejor opción para resolver el caso descrito. Revisa las características de uso de actuadores lineales y su aplicación práctica.,Incorrecto.  Mal diseño de los componentes mecánicos no es la mejor opción para resolver el caso descrito. Revisa las características de  mal diseño de los componentes mecánicos y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Exceso de ganancia en el controlador es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM04
PREG035, Caso: Un estudiante realiza un modelado en SolidWorks Motion de un sistema de engranes con diferentes diámetros. ¿Qué aspecto puede validar con esta simulación?,La codificación del microcontrolador, El consumo electrico delsistema, no aplica, La velocidad angular relativa entre engranes,Incorrecto. La codificación del microcontrolador no es la mejor opción para resolver el caso descrito. Revisa las características de la codificación del microcontrolador y su aplicación práctica.,Incorrecto.  El consumo electrico delsistema no es la mejor opción para resolver el caso descrito. Revisa las características de  el consumo electrico delsistema y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  La velocidad angular relativa entre engranes es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM04
